Timestamp,Label
2024-05-08 09:22:59.642559,Excellent
2024-05-08 09:24:37.004826,Acceptable
2024-05-08 09:27:08.223855,So and So
2024-05-08 09:27:18.317545,Acceptable
2024-05-08 09:27:37.466976,Excellent
2024-05-08 09:29:37.817506,Acceptable
2024-05-08 09:29:53.037289,Uncomfortable
2024-05-08 09:30:00.575094,Acceptable
2024-05-08 09:30:44.071137,Acceptable
2024-05-08 09:30:52.788077,Excellent
2024-05-08 09:31:02.056460,So and So
2024-05-08 09:31:08.843690,Acceptable
2024-05-08 09:31:15.626008,Excellent
2024-05-08 09:31:33.389454,Uncomfortable
2024-05-08 09:31:40.206425,Acceptable
2024-05-08 09:31:48.856202,Excellent
2024-05-08 09:32:34.165061,So and So
2024-05-08 09:32:39.907688,Acceptable
2024-05-08 09:32:48.893234,Excellent
2024-05-08 09:33:22.268079,Uncomfortable
2024-05-08 09:33:26.112657,Acceptable
2024-05-08 09:33:27.906187,Excellent
2024-05-08 09:33:55.205625,Uncomfortable
2024-05-08 09:33:57.463520,Acceptable
2024-05-08 09:33:58.742627,Excellent
2024-05-08 09:34:04.906763,Acceptable
2024-05-08 09:34:08.121160,Excellent
2024-05-08 09:34:15.733780,So and So
2024-05-08 09:34:18.873980,Acceptable
2024-05-08 09:34:19.690447,Excellent
2024-05-08 09:34:24.904632,Acceptable
2024-05-08 09:34:27.639464,Excellent
2024-05-08 09:34:44.721814,Acceptable
2024-05-08 09:34:56.716252,Excellent
2024-05-08 09:35:00.400662,Acceptable
2024-05-08 09:35:07.789068,Excellent
2024-05-08 09:35:13.896522,So and So
2024-05-08 09:35:15.962888,Acceptable
2024-05-08 09:35:17.090085,Excellent
2024-05-08 09:35:46.094054,Acceptable
2024-05-08 09:35:49.722047,Excellent
2024-05-08 09:36:05.959695,Acceptable
2024-05-08 09:36:06.814975,So and So
2024-05-08 09:36:10.926056,Uncomfortable
2024-05-08 09:36:12.676039,Acceptable
2024-05-08 09:36:14.503369,Excellent
2024-05-08 09:36:27.845970,So and So
2024-05-08 09:36:30.855818,Acceptable
2024-05-08 09:36:33.116798,Excellent
2024-05-08 09:36:59.625279,So and So
2024-05-08 09:37:01.245834,Acceptable
2024-05-08 09:37:02.565547,Excellent
2024-05-08 09:37:11.286268,Acceptable
2024-05-08 09:37:12.055108,So and So
2024-05-08 09:37:13.797349,Acceptable
2024-05-08 09:37:15.006573,Excellent
2024-05-08 09:37:30.006546,So and So
2024-05-08 09:37:31.051732,Acceptable
2024-05-08 09:37:32.082849,Excellent
2024-05-08 09:38:07.671519,Acceptable
2024-05-08 09:38:08.823547,Excellent
2024-05-08 09:38:17.859542,Acceptable
2024-05-08 09:38:25.948679,Excellent
2024-05-08 09:38:45.037885,Acceptable
2024-05-08 09:38:46.175264,So and So
2024-05-08 09:38:47.942734,Acceptable
2024-05-08 09:38:58.526612,Excellent
2024-05-08 09:39:59.853906,Acceptable
2024-05-08 09:40:02.128811,Excellent
2024-05-08 09:41:11.522237,Acceptable
2024-05-08 09:41:17.859924,Excellent
2024-05-08 09:41:29.116002,Acceptable
2024-05-08 09:41:31.623346,Excellent
2024-05-08 09:41:48.434612,So and So
2024-05-08 09:41:51.868500,Excellent
2024-05-08 09:42:00.886814,Acceptable
2024-05-08 09:42:02.258510,Excellent
2024-05-08 09:42:12.961870,So and So
2024-05-08 09:42:14.300250,Acceptable
2024-05-08 09:42:15.051959,Excellent
2024-05-08 09:42:41.070059,Acceptable
2024-05-08 09:42:50.709853,Excellent
2024-05-08 09:43:01.142580,Acceptable
